6407.5	6807.5
7885.7	8285.7
15380	15780
16313	16713
18898	19298
27662	28062
31655	32055
35008	35408
36802	37202
37728	38128
38700	39100
55302	55702
57983	58383
59046	59446
70154	70554
74999	75399
77377	77777
82088	82488
86782	87182
89546	89946
1.0317e+05	1.0357e+05
1.0568e+05	1.0608e+05
1.1132e+05	1.1172e+05
1.211e+05	1.215e+05
1.2303e+05	1.2343e+05
1.3123e+05	1.3163e+05
1.3446e+05	1.3486e+05
1.3892e+05	1.3932e+05
1.4188e+05	1.4228e+05
1.4997e+05	1.5037e+05
1.5266e+05	1.5306e+05
1.5766e+05	1.5806e+05
1.5833e+05	1.5873e+05
1.6253e+05	1.6293e+05
1.6557e+05	1.6597e+05
1.7194e+05	1.7234e+05
1.7362e+05	1.7402e+05
1.7885e+05	1.7925e+05
1.8005e+05	1.8045e+05
1.8059e+05	1.8099e+05
1.8338e+05	1.8378e+05
1.9019e+05	1.9059e+05
1.9236e+05	1.9276e+05
1.9782e+05	1.9822e+05
2.0146e+05	2.0186e+05
2.0461e+05	2.0501e+05
2.0962e+05	2.1002e+05
2.1172e+05	2.1212e+05
2.1647e+05	2.1687e+05
2.1846e+05	2.1886e+05
2.1966e+05	2.2006e+05
2.2051e+05	2.2091e+05
2.2699e+05	2.2739e+05
2.2794e+05	2.2834e+05
2.2961e+05	2.3001e+05
2.3191e+05	2.3231e+05
2.368e+05	2.372e+05
2.4947e+05	2.4987e+05
2.6111e+05	2.6151e+05
2.6575e+05	2.6615e+05
2.745e+05	2.749e+05
2.8182e+05	2.8222e+05
2.8655e+05	2.8695e+05
2.9879e+05	2.9919e+05
3.0959e+05	3.0999e+05
3.1387e+05	3.1427e+05
3.1496e+05	3.1536e+05
3.1947e+05	3.1987e+05
3.2421e+05	3.2461e+05
3.2486e+05	3.2526e+05
3.3066e+05	3.3106e+05
3.3148e+05	3.3188e+05
3.3253e+05	3.3293e+05
3.3605e+05	3.3645e+05
3.3718e+05	3.3758e+05
3.3885e+05	3.3925e+05
3.4061e+05	3.4101e+05
3.4175e+05	3.4215e+05
3.4523e+05	3.4563e+05
3.4688e+05	3.4728e+05
3.4847e+05	3.4887e+05
3.4998e+05	3.5038e+05
3.5674e+05	3.5714e+05
3.5888e+05	3.5928e+05
3.5966e+05	3.6006e+05
3.6159e+05	3.6199e+05
3.6507e+05	3.6547e+05
3.6648e+05	3.6688e+05
3.7712e+05	3.7752e+05
3.798e+05	3.802e+05
3.8306e+05	3.8346e+05
3.9056e+05	3.9096e+05
3.9204e+05	3.9244e+05
3.9675e+05	3.9715e+05
4.0316e+05	4.0356e+05
4.061e+05	4.065e+05
4.0683e+05	4.0723e+05
4.0799e+05	4.0839e+05
4.1053e+05	4.1093e+05
4.1337e+05	4.1377e+05
4.1909e+05	4.1949e+05
4.2101e+05	4.2141e+05
4.2307e+05	4.2347e+05
4.2601e+05	4.2641e+05
4.3355e+05	4.3395e+05
4.3461e+05	4.3501e+05
4.4685e+05	4.4725e+05
4.4935e+05	4.4975e+05
4.515e+05	4.519e+05
4.531e+05	4.535e+05
4.5381e+05	4.5421e+05
4.6567e+05	4.6607e+05
4.6726e+05	4.6766e+05
4.6856e+05	4.6896e+05
4.6931e+05	4.6971e+05
